Pytanie,Odpowiedź poprawna,Odpowiedź błędna 1,Odpowiedź błędna 2,Odpowiedź błędna 3
Jak oznaczony jest poziom uprzywilejowania segmentu danych?,DPL,CPL,RPL,SPL
Który z poniższych elementów jest charakterystycznym dla nagłówka rekordu plikowego w MFT?,"znaki ""FILE"" w kodzie ASCII","znaki ""DATA"" w kodzie ASCII","znaki ""INFO"" w kodzie ASCII","znaki ""HEAD"" w kodzie ASCII"
"W systemie plików NTFS, każdy atrybut w rekordzie plikowym składa się z nagłówka i właściwych danych (strumienia). We wszystkich formatach dwa pierwsze pola mają jednakowe znaczenie. Co oznaczają te pola?",Typ atrybutu i długość,Typ atrybutu i identyfikator użytkownika,Nazwa pliku i długość,Typ atrybutu i offset danych
Jakie zalety wynikają z używania systemu Ext4 w porównaniu do Ext3?,Obsługa większych partycji i możliwość rezerwacji obszarów dla plików,Większa kompatybilność z systemami operacyjnymi Windows,Redukcja liczby operacji zapisu na dysku,Zwiększenie liczby jednoczesnych transakcji plikowych
W jaki sposób metoda listowa przydziału miejsca na dysku przechowuje dane o pliku?,Bloki są połączone ze sobą wskaźnikami przechowywanymi na dysku,Wszystkie bloki pliku są opisane w jednym rekordzie,Położenie każdego bloku jest zapisane w superbloku systemu,Każdy blok zawiera pełny opis pliku i dane użytkownika
"Co oznacza pojęcie ""rezydentne atrybuty"" w NTFS?",Dane atrybutu są przechowywane w rekordzie plikowym w MFT,Dane atrybutu są przechowywane poza MFT,Atrybuty te dotyczą wyłącznie katalogów głównych,Są to atrybuty przechowywane w dzienniku transakcji
Jakie operacje obsługuje BIOS w kontekście dysków twardych?,Testowanie sprzętu i odczyt/zapis sektorów,Formatowanie dysku i alokacja partycji,Zarządzanie systemami plików FAT i NTFS,Optymalizacja pracy dysku w trybie wielozadaniowym
Czym charakteryzuje się adresowanie LBA w porównaniu do CHS?,"LBA przypisuje unikalny numer każdemu sektorowi, niezależnie od jego fizycznej lokalizacji",LBA wymaga podania fizycznych parametrów dysku,LBA jest kompatybilne wyłącznie z systemami plików NTFS i Ext4,LBA wykorzystuje dziennik transakcji do identyfikacji sektorów
Co przechowuje tablica FAT w systemach plików FAT?,Informacje o stanie wszystkich klastrów obszaru danych,Dane plików zapisanych na dysku,Strukturę katalogów systemu plików,Sektory rozruchowe dysku
Jaka jest podstawowa funkcja dziennika transakcji w NTFS?,Zapewnienie odtwarzalności stanu systemu w przypadku awarii,Zwiększenie prędkości dostępu do plików,Szyfrowanie plików użytkownika,Zmniejszenie rozmiaru klastrów
Dlaczego i-węzły w systemie Ext nie przechowują nazw plików?,"Nazwy plików są przechowywane w katalogach, a i-węzły przechowują jedynie metadane",I-węzły przechowują jedynie dane plikowe,System Ext nie obsługuje nazw plików dłuższych niż 8 znaków,Przechowywanie nazw plików w i-węzłach zwiększyłoby rozmiar systemu
Jaka jest główna różnica między MBR a GPT jako schematami partycjonowania?,GPT wspiera większe dyski i więcej partycji niż MBR,MBR umożliwia szybszy dostęp do danych,GPT wykorzystuje system plików FAT32,MBR eliminuje konieczność tworzenia partycji rozszerzonych
Jak działa metoda indeksowa w systemach plików Ext?,Dane pliku są lokalizowane za pomocą i-węzłów wskazujących na odpowiednie bloki,Wszystkie dane pliku muszą być przechowywane w jednym bloku,System operacyjny tworzy kopie zapasowe każdego pliku w indeksach,Indeksy plików przechowują jedynie nazwy plików
Jaką funkcję pełni BIOS podczas uruchamiania komputera?,Testuje komponenty i ładuje sektor rozruchowy,Odczytuje dane plików z dysku,Zarządza pamięcią RAM komputera,Ładuje aplikacje użytkownika do pamięci
"Co oznacza atrybut ""archiwizacji"" w systemie FAT?","Oznacza, że plik został zmodyfikowany i wymaga kopii zapasowej","Oznacza, że plik jest tylko do odczytu","Oznacza, że plik jest systemowy","Oznacza, że plik jest ukryty"
Jakie dane przechowuje rekord plikowy w MFT systemu NTFS?,Atrybuty pliku i jego położenie na dysku,Dane pliku w postaci zaszyfrowanej,Kopie zapasowe wszystkich plików,Wyłącznie metadane dotyczące katalogów
W czym GPT przewyższa MBR?,GPT oferuje większą elastyczność w zarządzaniu partycjami,GPT obsługuje tylko partycje systemowe,GPT jest kompatybilny z każdym systemem operacyjnym,GPT pozwala na szybsze operacje dyskowe
Jakie typy plików można określić w systemie NTFS?,Pliki zwykłe i katalogi,Wyłącznie pliki binarne,Wyłącznie pliki tekstowe,Wyłącznie katalogi i pliki systemowe
Co oznacza atrybut pliku z wartością 0x10 w systemie FAT?,katalog,znacznik archiwizacji,etykieta dysku,plik systemowy
Z czego składa się położenie fizyczne sektora?,"Numer dysku, numer powierzchni, numer cylindra, numer sektora","Numer dysku, numer bloku pamięci, identyfikator procesu, numer strony","Numer głowicy, numer portu, numer cylindra, adres urządzenia","Numer dysku, numer powierzchni, numer bloku, numer sektora"
"Jakiej instrukcji x86 zazwyczaj używa się, aby wywołać funkcję BIOS do odczytu z dysku?",INT,CALL ,IN,JMP
Co jest wymagane w trybie chronionym?,Segmentacja,Stronicowanie,Wykorzystanie BIOS,Tryb rzeczywisy do działania
Jaką maksymalną pojemność dysku można zaadresować przy standarodowym schemacie operacji dyskowych BIOS?,"8,4GB","136,9 GB",528 MB,512 MB
Dla jakiego trybu został utworzony BIOS?,16-bitowego ,32-bitowego,64-bitowego,8-bitowego
